sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,ndcg@20,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
1b406c88-9dfd-42cd-a1f5-9683f35f849b::t1,P0_named_artist_ranker_failure,failure,current_config,93 'Til Infinity,Souls Of Mischief,15,6,0.25,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,17,False,False,True,True,True,True,True,True,True,True,True,True
7be411cd-f002-459e-8326-3ebe8be10b42::t6,P0_named_artist_ranker_failure,failure,current_config,Army Dreamers,Kate Bush,,,0.0,420,bm25,14,False,True,False,False,False,False,True,False,False,False,False,False
fc78453a-8798-4402-a01a-e9c557f08a03::t2,P0_named_artist_ranker_failure,failure,current_config,En el 2000,Natalia Lafourcade,27,27,0.0,1,bm25,15,False,False,True,True,True,True,True,False,True,True,True,True
84803908-48e7-41b7-9269-a465a44f4c10::t2,P0_same_album_ranker_failure,failure,current_config,Runaway,"Pusha T, Kanye West",24,14,0.0,1,centroid.anchor_tracks.image_siglip2,16,False,False,True,True,True,True,True,False,True,True,True,True
6d825b33-dc20-4b3c-a277-0c8214163007::t6,P0_same_album_ranker_failure,failure,current_config,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",,,0.0,18,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,17,True,False,True,True,True,True,True,False,False,False,False,False
942c0b23-c5ad-4270-b23f-3ba456ea0ccf::t5,P0_same_album_ranker_failure,failure,current_config,Alive,Pearl Jam,2,2,0.6309297535714575,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,17,False,False,True,True,True,True,True,True,True,True,True,True
19c7e5bf-0797-40c5-b798-4d024af9558d::t4,P0_same_album_ranker_failure,failure,current_config,Satisfied,"Original Broadway Cast of Hamilton, Renée Elise Goldsberry",24,24,0.0,2,centroid.anchor_tracks.image_siglip2,16,False,False,True,True,True,True,True,False,True,True,True,True
71b80ec3-6cca-48b4-b471-08efa00afa2d::t4,P0_same_album_ranker_failure,failure,current_config,That Would Be Enough,"Lin-Manuel Miranda, Phillipa Soo",27,27,0.0,1,centroid.anchor_tracks.image_siglip2,17,False,False,True,True,True,True,True,False,True,True,True,True
692611f0-d9ef-406c-8327-902575197aee::t8,P0_same_album_ranker_failure,failure,current_config,YAH.,Kendrick Lamar,15,15,0.25,18,centroid.anchor_tracks.image_siglip2,17,False,False,True,True,True,True,True,True,True,True,True,True
8071d14d-7e0f-4f72-90a6-0941db80a371::t5,P0_same_album_ranker_failure,failure,current_config,Stay Down,Brent Faiyaz,1,1,1.0,1,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,False,True,True,True,True,True,True,True,True,True,True
c863175a-bbaf-4f6c-aef7-cb16f2792cb5::t6,P0_same_album_ranker_failure,failure,current_config,Cinderella (feat. Ty Dolla $ign),Mac Miller,5,5,0.38685280723454163,1,centroid.user.cf_bpr,17,False,False,True,True,True,True,True,True,True,True,True,True
c96d7bb9-65d4-44be-9bc2-891e8e485f4e::t7,P0_same_album_ranker_failure,failure,current_config,Sentimento Louco - Ao Vivo,Marília Mendonça,58,3,0.0,7,centroid.anchor_tracks.image_siglip2,17,False,False,True,True,True,True,True,False,False,True,True,True
e6ba98e1-9bee-4cc9-a6b7-0a8dcd767a1f::t7,P0_same_album_ranker_failure,failure,current_config,Boom,P.O.D.,53,68,0.0,3,centroid.anchor_tracks.image_siglip2,18,False,False,True,True,True,True,True,False,False,True,True,True
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config,Glitter,"Tyler, The Creator",,,0.0,101,centroid.user.cf_bpr,14,False,False,False,False,False,True,True,False,False,False,False,False
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Las Almas Del Silencio,Ricky Martin,204,494,0.0,169,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,13,False,False,False,False,False,True,True,False,False,False,False,True
464477e4-f186-47fb-8cb0-55691c8b8f57::t6,P1_positive_tag_retrieval_gap_failure,failure,current_config,Where Eagles Dare,"Glenn Danzig, Misfits",642,527,0.0,30,centroid.anchor_tracks.image_siglip2,17,False,False,False,True,True,True,True,False,False,False,False,True
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config,You Know What I Mean,Cults,378,634,0.0,25,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,16,False,False,False,True,True,True,True,False,False,False,False,True
a2cface7-c4fc-4eb5-80b2-e0c516093732::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config,The City Is At War,Cobra Starship,48,109,0.0,11,centroid.anchor_tracks.cf_bpr,16,False,False,True,True,True,True,True,False,True,True,True,True
dd686049-59ba-439b-8c51-949a0876e1b3::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Vengeance (The Return of the Night Driving Avenger) [Bonus Track],Perturbator,226,241,0.0,42,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,13,False,False,False,True,True,True,True,False,False,False,False,True
a8df96e2-c196-462c-9484-72aa093aedf4::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Do Everything,Steven Curtis Chapman,95,106,0.0,71,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,13,False,False,False,False,True,True,True,False,False,True,True,True
5a0dfe9d-ec8a-4449-97df-35535cbf162f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,A New World,Harry Gregson-Williams,324,307,0.0,60,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,13,False,False,False,False,True,True,True,False,False,False,False,True
1c567917-f931-4609-9695-a9c0f8e39f3d::t2,P1_positive_tag_retrieval_gap_failure,failure,current_config,Arregaçada / U Can't Touch This,Banda Uó,359,362,0.0,35,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,16,False,False,False,True,True,True,True,False,False,False,False,True
54cda581-3b2e-4245-a479-1a27589760d2::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config,Deliberation - Studio,Katatonia,266,539,0.0,103,centroid.user.cf_bpr,17,False,False,False,False,False,True,True,False,False,False,False,True
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Yellow,Coldplay,110,229,0.0,1,lookup.era_popularity,14,False,False,True,True,True,True,True,False,False,False,True,True
a62ed6fc-e634-4d57-afab-36d9ffc0fcc1::t1,P0_good_state_ranker_near_miss_failure,failure,current_config,Iris,The Goo Goo Dolls,144,398,0.0,2,lookup.era_popularity,14,False,False,True,True,True,True,True,False,False,False,True,True
be88097f-b6b0-4fb4-bed9-857a92a733c0::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Dreams - 2004 Remaster,Fleetwood Mac,343,602,0.0,1,lookup.era_popularity,16,False,False,True,True,True,True,True,False,False,False,False,True
2eb984dc-9c71-449a-a335-caaa113d2c2b::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Tennessee Whiskey,Chris Stapleton,18,13,0.23540891336663824,2,centroid.anchor_tracks.image_siglip2,17,False,False,True,True,True,True,True,True,True,True,True,True
43a0926b-882e-403d-8cf7-2b0a598e0cc5::t2,P0_good_state_ranker_near_miss_failure,failure,current_config,Devil In A New Dress,"Rick Ross, Kanye West",17,15,0.23981246656813146,1,centroid.anchor_tracks.cf_bpr,16,False,False,True,True,True,True,True,True,True,True,True,True
401c369d-1eba-41b2-8eca-d93a6faeeddc::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Walk,Pantera,14,18,0.2559580248098155,3,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,17,False,False,True,True,True,True,True,True,True,True,True,True
2db3ddc8-78a1-412c-a71e-e0d748aab0e7::t2,P0_good_state_ranker_near_miss_failure,failure,current_config,Old Time Rock & Roll,Bob Seger,1,1,1.0,3,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,18,False,False,True,True,True,True,True,True,True,True,True,True
b4ffa800-8173-4f16-800a-4b5e765d7f80::t4,P0_good_state_ranker_near_miss_failure,failure,current_config,And I Love Her - Remastered,The Beatles,,,0.0,1,centroid.anchor_tracks.image_siglip2,13,False,True,True,True,True,True,True,False,False,False,False,False
66ff896f-fcbc-4c42-9d69-b0b5b5ae5a56::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Hungry Heart,Bruce Springsteen,11,17,0.27894294565112987,4,centroid.anchor_tracks.cf_bpr,17,False,False,True,True,True,True,True,True,True,True,True,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t1,P0_good_state_ranker_near_miss_failure,failure,current_config,Electric Relaxation,A Tribe Called Quest,58,25,0.0,1,centroid.anchor_tracks.cf_bpr,17,False,False,True,True,True,True,True,False,False,True,True,True
0681d55b-98a0-4773-a9df-075a8050d805::t1,POS_exact_entity_success_control,positive_control,current_config,Numb,Linkin Park,2,2,0.6309297535714575,1,bm25,14,False,False,True,True,True,True,True,True,True,True,True,True
8bee6f03-8cae-44ae-9325-455dc1138549::t1,POS_exact_entity_success_control,positive_control,current_config,Africa,"TOTO, Toto",1,1,1.0,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
d62387d0-3743-4ddc-bc92-8204c951ccee::t1,POS_exact_entity_success_control,positive_control,current_config,In the End,Linkin Park,1,1,1.0,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
bd2aa024-68e7-43c2-aa87-afce9b4d7cf1::t2,POS_exact_entity_success_control,positive_control,current_config,Shut Up and Dance,WALK THE MOON,1,1,1.0,1,bm25,18,False,False,True,True,True,True,True,True,True,True,True,True
028027d3-ad67-4cfb-baca-516772ae7399::t1,POS_exact_entity_success_control,positive_control,current_config,Toxic,Britney Spears,1,1,1.0,1,bm25,18,False,False,True,True,True,True,True,True,True,True,True,True
fada63d6-1275-47a1-b3ab-30eae222fd72::t1,POS_exact_entity_success_control,positive_control,current_config,Toxic,Britney Spears,2,2,0.6309297535714575,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
7c3154c5-d1c2-4f07-9b8d-96d187334f1b::t1,POS_exact_entity_success_control,positive_control,current_config,Way Down We Go,"Kaleo, KALEO",1,1,1.0,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
ba3da7b0-1e81-4d2a-90fa-65ee1f4d7348::t1,POS_exact_entity_success_control,positive_control,current_config,Heart-Shaped Box,Nirvana,1,2,1.0,1,bm25,19,False,False,True,True,True,True,True,True,True,True,True,True
3664db63-1623-4ae7-9910-dd8bc3c2bd83::t1,POS_exact_entity_success_control,positive_control,current_config,No Scrubs,TLC,1,1,1.0,1,bm25,12,False,False,True,True,True,True,True,True,True,True,True,True
7b550636-72fe-490e-ad38-a1912d08449f::t1,POS_exact_entity_success_control,positive_control,current_config,Believe,Cher,2,2,0.6309297535714575,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t8,POS_clean_final_hit_control,positive_control,current_config,Feel Good Inc,Gorillaz,8,5,0.31546487678572877,1,lookup.resolved_artist_discography,17,False,False,True,True,True,True,True,True,True,True,True,True
4a02d862-623b-4fab-a42c-2905f31a96db::t1,POS_clean_final_hit_control,positive_control,current_config,Dreams - 2004 Remaster,Fleetwood Mac,6,6,0.3562071871080222,1,lookup.era_popularity,17,False,False,True,True,True,True,True,True,True,True,True,True
5b44bff3-76ed-495e-9dc1-0f075e3d178b::t1,POS_clean_final_hit_control,positive_control,current_config,Dreams - 2004 Remaster,Fleetwood Mac,115,195,0.0,1,lookup.era_popularity,14,False,False,True,True,True,True,True,False,False,False,True,True
a61b366c-8cf5-48ad-a13f-181c033b9d89::t2,POS_clean_final_hit_control,positive_control,current_config,Pumped Up Kicks,Foster The People,92,118,0.0,117,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,True,True,True
55388720-92b7-4972-9bb2-beb37c33c86b::t1,POS_clean_final_hit_control,positive_control,current_config,Ivy,Frank Ocean,2,3,0.6309297535714575,1,bm25,18,False,False,True,True,True,True,True,True,True,True,True,True
13552d56-f3d8-443a-9272-11ec16c80fa1::t1,POS_clean_final_hit_control,positive_control,current_config,Congratulations,"Quavo, Post Malone",,,0.0,185,bm25,9,False,False,False,False,False,True,True,False,False,False,False,False
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t3,POS_clean_final_hit_control,positive_control,current_config,DARE,Gorillaz,27,27,0.0,2,bm25,17,False,False,True,True,True,True,True,False,True,True,True,True
93199894-d3db-4335-8278-e1be175944e4::t1,POS_clean_final_hit_control,positive_control,current_config,Even Flow,Pearl Jam,1,1,1.0,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
