sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,bm25_lookup,Love Train,The O'Jays,356,381,193,bm25,2,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,bm25_lookup,Leraine,Kettel,,,,,2,False,False,False,False,False,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,bm25_lookup,Thriller,Fall Out Boy,574,723,530,bm25,3,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,bm25_lookup,Breath and Life,Audiomachine,,,,,2,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,bm25_lookup,Constant Craving - Remastered,k.d. lang,,,,,2,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,centroid_style,Give It To Me Baby,Rick James,485,856,169,lookup.era_popularity,5,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,centroid_style,Armature,Emptyset,,,,,4,False,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,centroid_style,The Carbon Stampede,Cattle Decapitation,249,277,137,centroid.anchor_tracks.cf_bpr,4,False,False,False,True,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,centroid_style,In the Shadows,The Rasmus,977,,253,centroid.anchor_tracks.audio_laion_clap,4,False,False,False,False,True,False,False,False,False,True
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,centroid_style,Move Along,The All-American Rejects,615,726,539,bm25,2,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,centroid_style,Used To,"Lil Wayne, Drake",969,,,,2,False,False,False,False,False,False,False,False,False,True
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,centroid_style,The Analog Kid,Rush,439,439,104,bm25,5,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,centroid_style,God Hates a Coward,Tomahawk,,,828,bm25,4,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,centroid_style,Redneck Yacht Club,Craig Morgan,125,191,134,centroid.anchor_tracks.audio_laion_clap,5,False,False,False,True,True,False,False,False,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,centroid_style,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",1,2,1,centroid.anchor_tracks.audio_laion_clap,4,True,True,True,True,True,True,True,True,True,True
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,centroid_style,Without You,Christina Aguilera,,,,,1,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,centroid_style,Hong Kong 2046,Hong Kong Express,,,,,1,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,centroid_style,Sparks,Hilary Duff,111,187,89,bm25,2,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,centroid_style,Acknowledge,Masta Ace,665,794,463,centroid.anchor_tracks.cf_bpr,5,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,centroid_style,Two To Make It Right,Seduction,490,661,183,centroid.anchor_tracks.audio_laion_clap,5,False,False,False,True,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,centroid_style,Love Train,The O'Jays,295,384,193,bm25,5,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,centroid_style,Leraine,Kettel,,,,,5,False,False,False,False,False,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,centroid_style,Thriller,Fall Out Boy,,,530,bm25,6,False,False,False,False,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,centroid_style,Breath and Life,Audiomachine,,,,,2,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,centroid_style,Constant Craving - Remastered,k.d. lang,,,393,centroid.anchor_tracks.audio_laion_clap,5,False,False,False,False,True,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,qwen06_metadata,Give It To Me Baby,Rick James,330,503,169,lookup.era_popularity,3,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,qwen06_metadata,Armature,Emptyset,536,535,263,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,False,False,False,False,True,False,False,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,qwen06_metadata,The Carbon Stampede,Cattle Decapitation,524,562,290,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,qwen06_metadata,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,qwen06_metadata,Move Along,The All-American Rejects,919,,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,qwen06_metadata,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,qwen06_metadata,The Analog Kid,Rush,77,77,104,bm25,3,False,False,False,True,True,False,False,True,True,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,qwen06_metadata,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,qwen06_metadata,Redneck Yacht Club,Craig Morgan,921,,497,bm25,3,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,qwen06_metadata,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,2,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,qwen06_metadata,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,qwen06_metadata,Hong Kong 2046,Hong Kong Express,,,,,2,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,qwen06_metadata,Sparks,Hilary Duff,159,277,89,bm25,3,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,qwen06_metadata,Acknowledge,Masta Ace,,,705,bm25,3,False,False,False,False,True,False,False,False,False,False
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,qwen06_metadata,Two To Make It Right,Seduction,,,736,bm25,3,False,False,False,False,True,False,False,False,False,False
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,qwen06_metadata,Love Train,The O'Jays,351,401,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,qwen06_metadata,Leraine,Kettel,,,,,3,False,False,False,False,False,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,qwen06_metadata,Thriller,Fall Out Boy,868,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,qwen06_metadata,Breath and Life,Audiomachine,,,,,3,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,qwen06_metadata,Constant Craving - Remastered,k.d. lang,,,,,3,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,qwen06_metadata_intent,Give It To Me Baby,Rick James,339,489,169,lookup.era_popularity,3,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,qwen06_metadata_intent,Armature,Emptyset,,,523,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,2,False,False,False,False,True,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,qwen06_metadata_intent,The Carbon Stampede,Cattle Decapitation,528,568,290,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,qwen06_metadata_intent,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,qwen06_metadata_intent,Move Along,The All-American Rejects,580,763,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,qwen06_metadata_intent,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,qwen06_metadata_intent,The Analog Kid,Rush,221,221,104,bm25,3,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,qwen06_metadata_intent,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,qwen06_metadata_intent,Redneck Yacht Club,Craig Morgan,909,,497,bm25,3,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,qwen06_metadata_intent,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,2,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,qwen06_metadata_intent,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,qwen06_metadata_intent,Hong Kong 2046,Hong Kong Express,,,,,2,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,qwen06_metadata_intent,Sparks,Hilary Duff,167,283,89,bm25,3,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,qwen06_metadata_intent,Acknowledge,Masta Ace,,,705,bm25,3,False,False,False,False,True,False,False,False,False,False
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,qwen06_metadata_intent,Two To Make It Right,Seduction,,,736,bm25,3,False,False,False,False,True,False,False,False,False,False
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,qwen06_metadata_intent,Love Train,The O'Jays,469,564,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,qwen06_metadata_intent,Leraine,Kettel,,,615,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,3,False,False,False,False,True,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,qwen06_metadata_intent,Thriller,Fall Out Boy,867,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,qwen06_metadata_intent,Breath and Life,Audiomachine,,,,,3,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,qwen06_metadata_intent,Constant Craving - Remastered,k.d. lang,,,,,3,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,qwen06_attributes,Give It To Me Baby,Rick James,329,509,169,lookup.era_popularity,3,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,qwen06_attributes,Armature,Emptyset,,,,,2,False,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,qwen06_attributes,The Carbon Stampede,Cattle Decapitation,525,566,289,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,qwen06_attributes,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,qwen06_attributes,Move Along,The All-American Rejects,941,,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,qwen06_attributes,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,qwen06_attributes,The Analog Kid,Rush,106,106,104,bm25,2,False,False,False,True,True,False,False,False,True,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,qwen06_attributes,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,qwen06_attributes,Redneck Yacht Club,Craig Morgan,915,,497,bm25,3,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,qwen06_attributes,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,2,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,qwen06_attributes,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,qwen06_attributes,Hong Kong 2046,Hong Kong Express,617,675,335,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,2,False,False,False,False,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,qwen06_attributes,Sparks,Hilary Duff,147,278,89,bm25,3,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,qwen06_attributes,Acknowledge,Masta Ace,558,659,370,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,3,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,qwen06_attributes,Two To Make It Right,Seduction,,,736,bm25,3,False,False,False,False,True,False,False,False,False,False
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,qwen06_attributes,Love Train,The O'Jays,494,594,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,qwen06_attributes,Leraine,Kettel,,,,,3,False,False,False,False,False,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,qwen06_attributes,Thriller,Fall Out Boy,930,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,qwen06_attributes,Breath and Life,Audiomachine,,,,,3,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,qwen06_attributes,Constant Craving - Remastered,k.d. lang,,,,,3,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,qwen06_attributes_enriched,Give It To Me Baby,Rick James,329,509,169,lookup.era_popularity,3,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,qwen06_attributes_enriched,Armature,Emptyset,,,,,2,False,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,qwen06_attributes_enriched,The Carbon Stampede,Cattle Decapitation,525,566,289,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,qwen06_attributes_enriched,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,qwen06_attributes_enriched,Move Along,The All-American Rejects,942,,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,qwen06_attributes_enriched,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,qwen06_attributes_enriched,The Analog Kid,Rush,106,106,104,bm25,2,False,False,False,True,True,False,False,False,True,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,qwen06_attributes_enriched,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,qwen06_attributes_enriched,Redneck Yacht Club,Craig Morgan,913,,497,bm25,3,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,qwen06_attributes_enriched,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,2,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,qwen06_attributes_enriched,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,qwen06_attributes_enriched,Hong Kong 2046,Hong Kong Express,611,670,332,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,2,False,False,False,False,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,qwen06_attributes_enriched,Sparks,Hilary Duff,147,278,89,bm25,3,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,qwen06_attributes_enriched,Acknowledge,Masta Ace,561,661,373,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,3,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,qwen06_attributes_enriched,Two To Make It Right,Seduction,,,736,bm25,3,False,False,False,False,True,False,False,False,False,False
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,qwen06_attributes_enriched,Love Train,The O'Jays,493,596,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,qwen06_attributes_enriched,Leraine,Kettel,,,,,3,False,False,False,False,False,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,qwen06_attributes_enriched,Thriller,Fall Out Boy,933,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,qwen06_attributes_enriched,Breath and Life,Audiomachine,,,,,3,False,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,qwen06_attributes_enriched,Constant Craving - Remastered,k.d. lang,,,,,3,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,qwen06_intent_attr_enriched,Give It To Me Baby,Rick James,408,666,169,lookup.era_popularity,4,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,qwen06_intent_attr_enriched,Armature,Emptyset,,,530,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,3,False,False,False,False,True,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,qwen06_intent_attr_enriched,The Carbon Stampede,Cattle Decapitation,778,863,290,bm25,3,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,qwen06_intent_attr_enriched,In the Shadows,The Rasmus,,,,,3,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,qwen06_intent_attr_enriched,Move Along,The All-American Rejects,736,,539,bm25,4,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,qwen06_intent_attr_enriched,Used To,"Lil Wayne, Drake",,,,,4,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,qwen06_intent_attr_enriched,The Analog Kid,Rush,223,223,104,bm25,3,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,qwen06_intent_attr_enriched,God Hates a Coward,Tomahawk,,,828,bm25,3,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,qwen06_intent_attr_enriched,Redneck Yacht Club,Craig Morgan,,,497,bm25,4,False,False,False,False,True,False,False,False,False,False
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,qwen06_intent_attr_enriched,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,3,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,qwen06_intent_attr_enriched,Without You,Christina Aguilera,,,,,3,False,False,False,False,False,False,False,False,False,False
