sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Love Train,The O'Jays,47,25,26,centroid.anchor_tracks.cf_bpr,16,False,False,False,True,True,True,True,False,True,True,True,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Leraine,Kettel,379,436,181,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,False,False,False,False,True,True,False,False,False,False,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Gangsta Gangsta,N.W.A.,,,307,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,17,False,False,False,False,False,False,True,False,False,False,False,False
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Midnight,A Tribe Called Quest,,,384,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,False,False,False,False,True,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Dear Yvette,"Jane Doe, Masta Ace",,,,,14,False,True,False,False,False,False,False,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Conquest of Paradise,Vangelis,161,71,44,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,False,True,True,True,True,False,False,False,True,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Thriller,Fall Out Boy,703,871,22,bm25,18,False,False,False,True,True,True,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Breath and Life,Audiomachine,578,421,171,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,13,False,False,False,False,False,True,True,False,False,False,False,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,I Juswanna Chill,Large Professor,709,412,168,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,True
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,failure,current_config_state_features_inplace,Constant Craving - Remastered,k.d. lang,786,403,199,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,True,True,False,False,False,False,True
4d0afb6b-3705-493f-ab16-ca75ea311e1a::t7,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Pilot,"Benjamin Wallfisch, Hans Zimmer",,428,236,centroid.anchor_tracks.image_siglip2,15,False,False,False,False,False,False,True,False,False,False,False,False
1e14a07f-7369-4d24-9285-9343b6b18353::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Nordlys,Myrkur,31,27,49,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,15,False,False,False,True,True,True,True,False,True,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t6,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) - Radio Edit,"Nile Rodgers, Pharrell Williams, Daft Punk",,,,,16,False,True,False,False,False,False,False,False,False,False,False,False
b2582e52-6d13-40b4-8552-2d8b63fa6c75::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Soil,System Of A Down,,,,,15,False,True,False,False,False,False,False,False,False,False,False,False
d265b5a9-af57-4070-90f5-692a960c5aaa::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Motherboard,Daft Punk,,,,,13,False,True,False,False,False,False,False,False,False,False,False,False
3a4224d3-1e5b-4bb9-a424-886d5c45d5d3::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Brain Relaxation Sky,Sample Rain Library,405,340,179,centroid.anchor_tracks.cf_bpr,16,False,False,False,False,False,True,True,False,False,False,False,True
963b3ee7-17d1-4bb3-8a3f-0bc528a1f096::t5,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Go Go Gadget Flow,Lupe Fiasco,,,,,13,False,True,False,False,False,False,False,False,False,False,False,False
08bea603-846a-428b-aa27-de4dfede7ba9::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Silhouette,Julia Holter,,,,,12,False,True,False,False,False,False,False,False,False,False,False,False
0fc60312-9a9d-4658-a950-06fc2441a2ac::t8,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,Music Will Untune the Sky,Have A Nice Life,,,434,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,12,False,False,False,False,False,False,True,False,False,False,False,False
3ebc2b49-0f5c-4161-bbcf-e1615821103f::t2,P1_rejection_guardrail_failure,failure,current_config_state_features_inplace,The Animus 2.0,Jesper Kyd,143,125,33,centroid.anchor_tracks.cf_bpr,15,False,False,False,True,True,True,True,False,False,False,True,True
37097db6-54b8-491b-8512-1df70648548b::t2,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,White Ferrari,Frank Ocean,25,22,6,lookup.resolved_artist_discography,16,False,False,True,True,True,True,True,False,True,True,True,True
f4115525-7e44-40df-8957-e38df99f214d::t4,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Young And Beautiful,Lana Del Rey,22,20,11,lookup.resolved_artist_discography,16,False,False,True,True,True,True,True,False,True,True,True,True
eee89ca2-fc86-4a9a-b4c5-2d77cb3346c8::t7,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,21,21,4,centroid.anchor_tracks.audio_laion_clap,15,False,False,True,True,True,True,True,False,True,True,True,True
44c3948c-bc44-4e40-ae77-82c2fec9c944::t7,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Me Dediqué a Perderte,"Alejandro Fernandez, Alejandro Fernández",,,,,15,False,True,False,False,False,False,False,False,False,False,False,False
899f906b-9b0b-42a6-9689-643eb9f1ed31::t8,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Crawling,Linkin Park,,,,,16,False,True,False,False,False,False,False,False,False,False,False,False
93199894-d3db-4335-8278-e1be175944e4::t6,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Smells Like Teen Spirit,Nirvana,915,915,300,bm25,12,False,False,False,False,False,False,True,False,False,False,False,True
7d2bb60e-1046-4956-91d0-cf1dd73037cc::t3,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Hung Up,Madonna,3,4,1,dense.clap_text.sonic_nl_enriched.audio_laion_clap,16,False,False,True,True,True,True,True,True,True,True,True,True
1b406c88-9dfd-42cd-a1f5-9683f35f849b::t1,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,93 'Til Infinity,Souls Of Mischief,93,62,28,centroid.anchor_tracks.image_siglip2,16,False,False,False,True,True,True,True,False,False,True,True,True
7be411cd-f002-459e-8326-3ebe8be10b42::t6,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,Army Dreamers,Kate Bush,,,,,13,False,True,False,False,False,False,False,False,False,False,False,False
fc78453a-8798-4402-a01a-e9c557f08a03::t2,P0_named_artist_ranker_failure,failure,current_config_state_features_inplace,En el 2000,Natalia Lafourcade,19,19,5,centroid.anchor_tracks.audio_laion_clap,14,False,False,True,True,True,True,True,True,True,True,True,True
84803908-48e7-41b7-9269-a465a44f4c10::t2,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Runaway,"Pusha T, Kanye West",32,21,4,centroid.anchor_tracks.image_siglip2,15,False,False,True,True,True,True,True,False,True,True,True,True
6d825b33-dc20-4b3c-a277-0c8214163007::t6,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",,,,,16,True,False,False,False,False,False,False,False,False,False,False,False
942c0b23-c5ad-4270-b23f-3ba456ea0ccf::t5,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Alive,Pearl Jam,3,1,2,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,True,True,True,True,True,True,True,True,True,True
19c7e5bf-0797-40c5-b798-4d024af9558d::t4,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Satisfied,"Original Broadway Cast of Hamilton, Renée Elise Goldsberry",76,76,28,centroid.anchor_tracks.image_siglip2,15,False,False,False,True,True,True,True,False,False,True,True,True
71b80ec3-6cca-48b4-b471-08efa00afa2d::t4,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,That Would Be Enough,"Lin-Manuel Miranda, Phillipa Soo",18,18,6,centroid.anchor_tracks.image_siglip2,16,False,False,True,True,True,True,True,True,True,True,True,True
692611f0-d9ef-406c-8327-902575197aee::t8,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,YAH.,Kendrick Lamar,22,21,6,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,16,False,False,True,True,True,True,True,False,True,True,True,True
8071d14d-7e0f-4f72-90a6-0941db80a371::t5,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Stay Down,Brent Faiyaz,153,116,137,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,15,False,False,False,False,False,True,True,False,False,False,True,True
c863175a-bbaf-4f6c-aef7-cb16f2792cb5::t6,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Cinderella (feat. Ty Dolla $ign),Mac Miller,3,3,1,centroid.anchor_tracks.image_siglip2,16,False,False,True,True,True,True,True,True,True,True,True,True
c96d7bb9-65d4-44be-9bc2-891e8e485f4e::t7,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Sentimento Louco - Ao Vivo,Marília Mendonça,,,985,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,False,False,False,False,True,False,False,False,False,False
e6ba98e1-9bee-4cc9-a6b7-0a8dcd767a1f::t7,P0_same_album_ranker_failure,failure,current_config_state_features_inplace,Boom,P.O.D.,64,69,19,centroid.anchor_tracks.cf_bpr,17,False,False,True,True,True,True,True,False,False,True,True,True
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Glitter,"Tyler, The Creator",,,387,centroid.anchor_tracks.audio_laion_clap,13,False,False,False,False,False,False,True,False,False,False,False,False
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Las Almas Del Silencio,Ricky Martin,34,54,26,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,13,False,False,False,True,True,True,True,False,True,True,True,True
464477e4-f186-47fb-8cb0-55691c8b8f57::t6,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Where Eagles Dare,"Glenn Danzig, Misfits",,,150,centroid.anchor_tracks.image_siglip2,16,False,False,False,False,False,True,True,False,False,False,False,False
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,You Know What I Mean,Cults,865,,132,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,16,False,False,False,False,False,True,True,False,False,False,False,True
a2cface7-c4fc-4eb5-80b2-e0c516093732::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,The City Is At War,Cobra Starship,86,106,17,centroid.anchor_tracks.cf_bpr,15,False,False,True,True,True,True,True,False,False,True,True,True
dd686049-59ba-439b-8c51-949a0876e1b3::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Vengeance (The Return of the Night Driving Avenger) [Bonus Track],Perturbator,352,348,72,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,12,False,False,False,False,True,True,True,False,False,False,False,True
a8df96e2-c196-462c-9484-72aa093aedf4::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Do Everything,Steven Curtis Chapman,66,69,40,dense.clap_text.sonic_nl.audio_laion_clap,13,False,False,False,True,True,True,True,False,False,True,True,True
5a0dfe9d-ec8a-4449-97df-35535cbf162f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,A New World,Harry Gregson-Williams,18,12,4,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,12,False,False,True,True,True,True,True,True,True,True,True,True
1c567917-f931-4609-9695-a9c0f8e39f3d::t2,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Arregaçada / U Can't Touch This,Banda Uó,898,874,115,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,15,False,False,False,False,False,True,True,False,False,False,False,True
54cda581-3b2e-4245-a479-1a27589760d2::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config_state_features_inplace,Deliberation - Studio,Katatonia,54,80,6,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,16,False,False,True,True,True,True,True,False,False,True,True,True
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t3,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Yellow,Coldplay,86,88,2,lookup.era_popularity,14,False,False,True,True,True,True,True,False,False,True,True,True
a62ed6fc-e634-4d57-afab-36d9ffc0fcc1::t1,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Iris,The Goo Goo Dolls,251,396,3,lookup.era_popularity,13,False,False,True,True,True,True,True,False,False,False,False,True
be88097f-b6b0-4fb4-bed9-857a92a733c0::t3,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Dreams - 2004 Remaster,Fleetwood Mac,797,,47,lookup.era_popularity,16,False,False,False,True,True,True,True,False,False,False,False,True
2eb984dc-9c71-449a-a335-caaa113d2c2b::t3,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Tennessee Whiskey,Chris Stapleton,7,4,2,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,False,True,True,True,True,True,True,True,True,True,True
43a0926b-882e-403d-8cf7-2b0a598e0cc5::t2,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Devil In A New Dress,"Rick Ross, Kanye West",65,59,25,centroid.anchor_tracks.image_siglip2,15,False,False,False,True,True,True,True,False,False,True,True,True
401c369d-1eba-41b2-8eca-d93a6faeeddc::t3,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Walk,Pantera,14,15,3,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,16,False,False,True,True,True,True,True,True,True,True,True,True
2db3ddc8-78a1-412c-a71e-e0d748aab0e7::t2,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Old Time Rock & Roll,Bob Seger,93,103,68,centroid.anchor_tracks.cf_bpr,17,False,False,False,False,True,True,True,False,False,True,True,True
b4ffa800-8173-4f16-800a-4b5e765d7f80::t4,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,And I Love Her - Remastered,The Beatles,,,1,lookup.resolved_artist_discography,12,False,True,True,True,True,True,True,False,False,False,False,False
66ff896f-fcbc-4c42-9d69-b0b5b5ae5a56::t3,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Hungry Heart,Bruce Springsteen,28,27,7,centroid.anchor_tracks.cf_bpr,16,False,False,True,True,True,True,True,False,True,True,True,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t1,P0_good_state_ranker_near_miss_failure,failure,current_config_state_features_inplace,Electric Relaxation,A Tribe Called Quest,47,23,9,dense.clap_text.sonic.audio_laion_clap,16,False,False,True,True,True,True,True,False,True,True,True,True
0681d55b-98a0-4773-a9df-075a8050d805::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Numb,Linkin Park,1,1,1,bm25,13,False,False,True,True,True,True,True,True,True,True,True,True
8bee6f03-8cae-44ae-9325-455dc1138549::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Africa,"TOTO, Toto",2,2,1,bm25,12,False,False,True,True,True,True,True,True,True,True,True,True
d62387d0-3743-4ddc-bc92-8204c951ccee::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,In the End,Linkin Park,1,1,1,bm25,12,False,False,True,True,True,True,True,True,True,True,True,True
bd2aa024-68e7-43c2-aa87-afce9b4d7cf1::t2,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Shut Up and Dance,WALK THE MOON,1,1,1,bm25,17,False,False,True,True,True,True,True,True,True,True,True,True
028027d3-ad67-4cfb-baca-516772ae7399::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Toxic,Britney Spears,5,10,1,bm25,17,False,False,True,True,True,True,True,True,True,True,True,True
fada63d6-1275-47a1-b3ab-30eae222fd72::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Toxic,Britney Spears,7,7,1,bm25,12,False,False,True,True,True,True,True,True,True,True,True,True
7c3154c5-d1c2-4f07-9b8d-96d187334f1b::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Way Down We Go,"Kaleo, KALEO",1,1,1,lookup.resolved_artist_discography,12,False,False,True,True,True,True,True,True,True,True,True,True
ba3da7b0-1e81-4d2a-90fa-65ee1f4d7348::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Heart-Shaped Box,Nirvana,4,4,3,dense.qwen_0_6b.lyric.lyrics_qwen3_embedding_0_6b,18,False,False,True,True,True,True,True,True,True,True,True,True
3664db63-1623-4ae7-9910-dd8bc3c2bd83::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,No Scrubs,TLC,1,1,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,12,False,False,True,True,True,True,True,True,True,True,True,True
7b550636-72fe-490e-ad38-a1912d08449f::t1,POS_exact_entity_success_control,positive_control,current_config_state_features_inplace,Believe,Cher,2,2,1,bm25,12,False,False,True,True,True,True,True,True,True,True,True,True
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t8,POS_clean_final_hit_control,positive_control,current_config_state_features_inplace,Feel Good Inc,Gorillaz,11,10,2,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,16,False,False,True,True,True,True,True,True,True,True,True,True
4a02d862-623b-4fab-a42c-2905f31a96db::t1,POS_clean_final_hit_control,positive_control,current_config_state_features_inplace,Dreams - 2004 Remaster,Fleetwood Mac,8,7,3,centroid.anchor_tracks.audio_laion_clap,16,False,False,True,True,True,True,True,True,True,True,True,True
5b44bff3-76ed-495e-9dc1-0f075e3d178b::t1,POS_clean_final_hit_control,positive_control,current_config_state_features_inplace,Dreams - 2004 Remaster,Fleetwood Mac,20,22,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,13,False,False,True,True,True,True,True,True,True,True,True,True
a61b366c-8cf5-48ad-a13f-181c033b9d89::t2,POS_clean_final_hit_control,positive_control,current_config_state_features_inplace,Pumped Up Kicks,Foster The People,6,3,1,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,15,False,False,True,True,True,True,True,True,True,True,True,True
